WKT,code,type,subtype,width,length,gap,id_2022,id_2020,id_1987,enabled,area,perimeter,get_shape,img,start_poin,end_point,road
"POLYGON((18.4003014415503 47.3608945905603,18.4003012103494 47.662574404718,20.4115003265906 47.2854761672588,18.4003017835785 46.9083748693238,18.4003015563358 47.2100546834815,16.7410626241472 47.2100534251565,17.3444226766005 46.6066942753943,18.1489021640737 46.6066948695062,16.8416232294403 46.3050141054022,15.6349038376939 46.6066930129066,16.3388233480509 46.6066935327544,15.7354633153882 47.2100526625354,15.3835035653319 47.210052395618,15.3835034503136 47.3608922877108,18.4003014415503 47.3608945905603))",flecha_frente-derecha__5__32,flecha,frente-derecha,,5.000000000000000,,M5.2d,M5.2d,M5.23,"1",2.175000000000000,15.587999999999999,"1",catalog/M5_2d.png,Point (15.38350351 47.28547234),Point (20.41150033 47.28547617),Travesias y vias urbanas
"POLYGON((19.0036593489349 49.5229337622201,19.0036603319459 48.3162144816119,15.3835022205021 48.91957117267,19.0036593489349 49.5229337622201),(18.4003004948609 48.569694495921,18.4002999246586 49.269452764829,16.3010254777037 48.9195719201518,18.4003004948609 48.569694495921))",senal_ceda_1.2_3.6__33,senal,ceda,1.200000000000000,3.600000000000000,,M6.5,M6.5,M6.5,"1",1.433664000000000,13.428000000000001,"1",catalog/M6_5.png,Point (15.38350222 48.91957117),Point (19.00365984 48.91957412),"Carreteras multicarril,
carreteras convencionales,
travesias y vias urbanas"
"POLYGON((15.3835122969467 24.0812689413762,15.3835122969467 24.1818288694381,20.4365710273851 24.1818288694381,20.4365710269194 24.0812689246421,15.3835122969467 24.0812689413762))",aux_____38,aux,,,,,,,,"0",0.502492000000000,10.250000000000000,"0",,,,
"POLYGON((39.5179046059493 25.1874289493116,39.5179043563548 28.2042291889319,39.9201443910133 28.2042292422156,39.9201446406078 25.1874289626325,39.5179046059493 25.1874289493116))",transversal-continua__0.4__0_39,transversal-continua,,0.400000000000000,,0.000000000000000,M4.1,M4.1,M4.1,"0",1.200000000000000,6.800000000000000,"0",catalog/M4_1.png,,,
"POLYGON((35.4955045697279 24.1818288694381,36.023366471054 24.1818288694381,55.6075101634488 24.1818288694381,55.6075101632159 24.0812688081671,54.8137516730931 24.0812688107958,53.9143151782919 24.0812688137745,53.014878710499 24.0812688167531,52.1154422694817 24.0812688197317,51.2160058550071 24.0812688227104,50.3165694668423 24.081268825689,49.4171331059188 24.0812688286677,48.5176967710722 24.0812688316463,47.618260463234 24.081268834625,46.7188241819385 24.0812688376036,45.8193879271857 24.0812688405823,44.9199516992085 24.0812688435609,44.0205154975411 24.0812688465396,43.1210793231148 24.0812688495182,42.2216431747656 24.0812688524969,41.2644878313877 24.0812688556667,36.023366471054 24.0812688730236,35.4955045694951 24.0812688747717,35.4955045697279 24.1818288694381))",aux_____40,aux,,,,,,,,"0",2.000000000000000,40.200000000000003,"0",,,,
"POLYGON((55.3019632950891 20.5888545671639,55.2845012117177 20.4898222423005,35.4780425096396 23.9822366124963,35.4955045694951 24.0812688747717,41.176843984751 23.0794953332566,42.1194579782896 22.9132870158445,43.0052296605427 22.7571015290748,43.891001367243 22.6009160331929,44.7767730995547 22.4447305281991,45.6625448565464 22.2885450140931,46.5483166382182 22.1323594908752,47.4340884455014 21.9761739585452,48.3198602774646 21.8199884171031,49.2056321345735 21.663802866549,50.0914040168282 21.5076173068829,50.9771759244613 21.3514317381047,51.8629478563089 21.1952461602145,52.7487198140007 21.0390605732122,53.6344917959068 20.8828749770979,54.5202638029587 20.7266893718715,55.3019632950891 20.5888545671639))",aux_____41,aux,,,,,,,,"0",2.000000000000000,40.200000000000003,"0",,,,
"POLYGON((41.2644878313877 24.0812688556667,41.2199882112909 23.580441384942,41.176843984751 23.0794953332566,35.4955045694951 24.0812688747717,36.023366471054 24.0812688730236,41.2644878313877 24.0812688556667))",aux_____42,aux,,,,,,,,"0",2.857175000000000,12.474000000000000,"0",,,,
"POLYGON((54.5202638029587 20.7266893718715,53.6344917959068 20.8828749770979,51.1713898070157 22.7098062167435,53.9143151782919 24.0812688137745,54.8137516730931 24.0812688107958,51.9368823715486 22.6428342570917,54.5202638029587 20.7266893718715))",cebreado-divergente_10deg__0.4_1_43,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.499251000000000,14.285000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((53.6344917959068 20.8828749770978,52.7487198140007 21.0390605732122,50.4058972615749 22.7767781730188,53.014878710499 24.0812688167531,53.9143151782919 24.0812688137745,51.1713898070157 22.7098062167435,53.6344917959068 20.8828749770978))",cebreado-divergente_10deg__0.4_1_44,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.380116000000000,13.689000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((52.7487198140007 21.0390605732122,51.8629478563089 21.1952461602145,49.6404047349934 22.8437501259173,52.1154422694817 24.0812688197317,53.014878710499 24.0812688167531,50.4058972615749 22.7767781730188,52.7487198140007 21.0390605732122))",cebreado-divergente_10deg__0.4_1_45,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.260980000000000,13.093999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((51.8629478563089 21.1952461602145,50.9771759244613 21.3514317381047,48.8749122282024 22.9107220754392,51.2160058550071 24.0812688227104,52.1154422694817 24.0812688197317,49.6404047349934 22.8437501259173,51.8629478563089 21.1952461602145))",cebreado-divergente_10deg__0.4_1_46,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.141844000000000,12.497999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((50.9771759244613 21.3514317381047,50.0914040168282 21.5076173068829,48.109419740038 22.9776940215844,50.3165694668423 24.081268825689,51.2160058550071 24.0812688227104,48.8749122282024 22.9107220754392,50.9771759244613 21.3514317381047))",cebreado-divergente_10deg__0.4_1_47,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",2.022708000000000,11.901999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((50.0914040168282 21.5076173068829,49.2056321345735 21.663802866549,47.343927271897 23.044665964353,49.4171331059188 24.0812688286677,50.3165694668423 24.081268825689,48.109419740038 22.9776940215844,50.0914040168282 21.5076173068829))",cebreado-divergente_10deg__0.4_1_48,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.903572000000000,11.307000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((49.2056321345735 21.663802866549,48.3198602774646 21.8199884171031,46.5784348219167 23.111637903745,48.5176967710722 24.0812688316463,49.4171331059188 24.0812688286677,47.343927271897 23.044665964353,49.2056321345735 21.663802866549))",cebreado-divergente_10deg__0.4_1_49,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.784437000000000,10.711000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((48.3198602774646 21.8199884171031,47.4340884455014 21.9761739585452,45.8129423914943 23.1786098397602,47.618260463234 24.081268834625,48.5176967710722 24.0812688316463,46.5784348219167 23.111637903745,48.3198602774646 21.8199884171031))",cebreado-divergente_10deg__0.4_1_50,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.665301000000000,10.115000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((47.4340884455014 21.9761739585452,46.5483166382182 22.1323594908752,45.0474499801639 23.2455817723988,46.7188241819385 24.0812688376036,47.618260463234 24.081268834625,45.8129423914943 23.1786098397602,47.4340884455014 21.9761739585452))",cebreado-divergente_10deg__0.4_1_51,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.546165000000000,9.520000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((46.5483166382182 22.1323594908752,45.6625448565464 22.2885450140931,44.2819575876929 23.3125537016608,45.8193879271857 24.0812688405823,46.7188241819385 24.0812688376036,45.0474499801639 23.2455817723988,46.5483166382182 22.1323594908752))",cebreado-divergente_10deg__0.4_1_52,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.427029000000000,8.923999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((45.6625448565464 22.2885450140931,44.7767730995547 22.4447305281991,43.5164652147796 23.3795256275461,44.9199516992085 24.0812688435609,45.8193879271857 24.0812688405823,44.2819575876929 23.3125537016608,45.6625448565464 22.2885450140931))",cebreado-divergente_10deg__0.4_1_53,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.307893000000000,8.327999999999999,"1",catalog/M7_2b.png,,,
"POLYGON((44.7767730995547 22.4447305281991,43.891001367243 22.6009160331929,42.7509728607256 23.4464975500547,44.0205154975411 24.0812688465396,44.9199516992085 24.0812688435609,43.5164652147796 23.3795256275461,44.7767730995547 22.4447305281991))",cebreado-divergente_10deg__0.4_1_54,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.188758000000000,7.733000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((43.891001367243 22.6009160331929,43.0052296605427 22.7571015290748,41.985480526695 23.5134694691867,43.1210793231148 24.0812688495182,44.0205154975411 24.0812688465396,42.7509728607256 23.4464975500547,43.891001367243 22.6009160331929))",cebreado-divergente_10deg__0.4_1_55,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",1.069622000000000,7.137000000000000,"1",catalog/M7_2b.png,,,
"POLYGON((43.0052296605427 22.7571015290748,42.1194579782896 22.9132870158445,41.2199882112909 23.580441384942,42.2216431747656 24.0812688524969,43.1210793231148 24.0812688495182,41.985480526695 23.5134694691867,43.0052296605427 22.7571015290748))",cebreado-divergente_10deg__0.4_1_56,cebreado-divergente,10deg,,0.400000000000000,1.000000000000000,M7.2b,M7.2b,M7.2b,"1",0.950486000000000,6.541000000000000,"1",catalog/M7_2b.png,,,
